date,machineId,productionQuantity,defects,downtimeMinutes,energyConsumption,operator,shift,revenue,cost
2026-04-01,M-001,450,12,45,120,Alice,Morning,4500,3200
2026-04-01,M-002,520,8,20,140,Bob,Morning,5200,3500
2026-04-01,M-001,430,15,60,125,Charlie,Afternoon,4300,3100
2026-04-02,M-001,480,10,30,115,Alice,Morning,4800,3300
2026-04-02,M-002,510,5,10,145,Bob,Morning,5100,3400
2026-04-03,M-001,508,11,61,147,Alice,Morning,4790,4440
2026-04-04,M-002,464,11,70,142,Bob,Afternoon,4770,3780
2026-04-05,M-001,421,3,66,109,Charlie,Morning,4990,3500
2026-04-06,M-002,497,4,2,107,Alice,Afternoon,5240,4010
2026-04-07,M-001,534,10,74,152,Bob,Morning,4340,3040
2026-04-08,M-002,463,0,9,132,Charlie,Afternoon,5580,3710
2026-04-09,M-001,508,7,67,102,Alice,Morning,5410,3850
2026-04-10,M-002,488,14,57,157,Bob,Afternoon,4410,4400
2026-04-11,M-001,492,6,33,150,Charlie,Morning,4910,3920
2026-04-12,M-002,487,3,29,142,Alice,Afternoon,4310,4090
2026-04-13,M-001,551,6,45,112,Bob,Morning,5280,3030
2026-04-14,M-002,450,9,3,135,Charlie,Afternoon,4950,4330
2026-04-15,M-001,436,8,40,168,Alice,Morning,5700,3000
2026-04-16,M-002,458,8,0,191,Bob,Afternoon,5200,4100
2026-04-17,M-001,497,8,21,131,Charlie,Morning,5820,3560
2026-04-18,M-002,518,9,53,147,Alice,Afternoon,5320,3970
2026-04-19,M-001,506,7,44,198,Bob,Morning,5000,3180
2026-04-20,M-002,542,7,31,110,Charlie,Afternoon,4600,3380
2026-04-21,M-001,531,11,13,110,Alice,Morning,4570,3610
2026-04-22,M-002,512,2,24,148,Bob,Afternoon,5620,4070
2026-04-23,M-001,470,19,17,182,Charlie,Morning,5380,3870
2026-04-24,M-002,469,0,12,148,Alice,Afternoon,5740,3110
2026-04-25,M-001,583,15,25,142,Bob,Morning,5820,4280
2026-04-26,M-002,580,13,68,190,Charlie,Afternoon,5700,3730
2026-04-27,M-001,556,6,23,144,Alice,Morning,5570,3540
2026-04-28,M-002,441,0,55,128,Bob,Afternoon,4140,3530
2026-04-29,M-001,507,14,11,188,Charlie,Morning,5210,4270
2026-04-30,M-002,574,2,5,141,Alice,Afternoon,4980,3020
